Order_ID,Order_Date,Order_Year,Order_Month,Order_Day,Order_Month_Name,Order_Day_Name,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Amount,Quantity_Level,Payment_Method,Order_Status
O0088,2026-01-30,2026,1,30,January,Friday,C022,Alina Shah,Pune,West,New,P008,Sneakers,Clothing,StepUp,2999,2,5998,Low,Debit Card,Cancelled
O0048,2026-02-02,2026,2,2,February,Monday,C020,Priya Menon,Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Low,Debit Card,Cancelled
O0012,2026-02-03,2026,2,3,February,Tuesday,C017,Dev Patel,Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,High,Credit Card,Delivered
O0040,2026-02-03,2026,2,3,February,Tuesday,C008,Sara Ahmed,Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,Medium,Cash on Delivery,Delivered
O0098,2026-02-03,2026,2,3,February,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Low,Credit Card,Delivered
O0119,2026-02-03,2026,2,3,February,Tuesday,C015,Karan Joshi,Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Low,Debit Card,Delivered
O0023,2026-02-04,2026,2,4,February,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,749,3,2247,Medium,Debit Card,Delivered
O0058,2026-02-05,2026,2,5,February,Thursday,C029,Sameer Qureshi,Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,1199,5,5995,High,UPI,Cancelled
O0066,2026-02-05,2026,2,5,February,Thursday,C004,Ananya Singh,Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,Low,Debit Card,Cancelled
O0020,2026-02-06,2026,2,6,February,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Medium,Credit Card,Delivered
O0090,2026-02-07,2026,2,7,February,Saturday,C022,Alina Shah,Pune,West,New,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Low,Cash on Delivery,Shipped
O0096,2026-02-07,2026,2,7,February,Saturday,C002,Zoya Khan,Delhi,North,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Low,Net Banking,Shipped
O0075,2026-02-08,2026,2,8,February,Sunday,C027,Harsh Vardhan,Noida,North,Premium,P004,Smart Watch,Electronics,FitTech,3299,4,13196,Medium,UPI,Delivered
O0093,2026-02-08,2026,2,8,February,Sunday,C012,Aisha Mir,Delhi,North,Premium,P016,Atomic Habits,Books,MindReads,599,3,1797,Medium,Debit Card,Delivered
O0006,2026-02-09,2026,2,9,February,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P018,Football,Sports,SportZone,799,3,2397,Medium,UPI,Delivered
O0039,2026-02-09,2026,2,9,February,Monday,C016,Hiba Sheikh,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,High,Credit Card,Delivered
O0007,2026-02-10,2026,2,10,February,Tuesday,C011,Vivaan Kapoor,Jaipur,North,New,P003,Wireless Mouse,Electronics,TechGear,899,3,2697,Medium,UPI,Delivered
O0114,2026-02-12,2026,2,12,February,Thursday,C019,Yusuf Dar,Srinagar,North,New,P011,Air Fryer,Home & Kitchen,CookSmart,4999,5,24995,High,Credit Card,Delivered
O0033,2026-02-13,2026,2,13,February,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,High,Credit Card,Delivered
O0047,2026-02-15,2026,2,15,February,Sunday,C005,Kabir Ali,Lucknow,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,High,Credit Card,Cancelled
O0015,2026-02-16,2026,2,16,February,Monday,C027,Harsh Vardhan,Noida,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Medium,Credit Card,Cancelled
O0078,2026-02-17,2026,2,17,February,Tuesday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,5,16495,High,Cash on Delivery,Delivered
O0050,2026-02-18,2026,2,18,February,Wednesday,C020,Priya Menon,Chennai,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,1,1499,Low,Credit Card,Shipped
O0001,2026-02-19,2026,2,19,February,Thursday,C027,Harsh Vardhan,Noida,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Low,Credit Card,Delivered
O0116,2026-02-19,2026,2,19,February,Thursday,C025,Reyansh Jain,Kolkata,East,New,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,1,1499,Low,Net Banking,Delivered
O0014,2026-02-20,2026,2,20,February,Friday,C007,Aditya Verma,Pune,West,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,Medium,UPI,Shipped
O0024,2026-02-20,2026,2,20,February,Friday,C030,Riya Kapoor,Bengaluru,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Medium,Net Banking,Delivered
O0092,2026-02-21,2026,2,21,February,Saturday,C027,Harsh Vardhan,Noida,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Low,Debit Card,Delivered
O0117,2026-02-21,2026,2,21,February,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Medium,Cash on Delivery,Shipped
O0067,2026-02-22,2026,2,22,February,Sunday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Low,Debit Card,Delivered
O0068,2026-02-22,2026,2,22,February,Sunday,C018,Manya Rao,Bengaluru,South,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,2,2998,Low,Debit Card,Delivered
O0055,2026-02-23,2026,2,23,February,Monday,C008,Sara Ahmed,Hyderabad,South,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Medium,Net Banking,Cancelled
O0083,2026-02-24,2026,2,24,February,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P013,Python Programming,Books,TechBooks,749,1,749,Low,Debit Card,Shipped
O0097,2026-02-24,2026,2,24,February,Tuesday,C004,Ananya Singh,Jammu,North,Regular,P006,Hoodie,Clothing,UrbanWear,1599,2,3198,Low,Cash on Delivery,Delivered
O0101,2026-02-24,2026,2,24,February,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,1,699,Low,UPI,Delivered
O0016,2026-02-25,2026,2,25,February,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P008,Sneakers,Clothing,StepUp,2999,3,8997,Medium,UPI,Delivered
O0063,2026-02-25,2026,2,25,February,Wednesday,C030,Riya Kapoor,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Medium,Credit Card,Shipped
O0095,2026-02-25,2026,2,25,February,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Low,Cash on Delivery,Delivered
O0003,2026-02-26,2026,2,26,February,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,1,3299,Low,Cash on Delivery,Delivered
O0017,2026-02-27,2026,2,27,February,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Medium,Net Banking,Delivered
O0044,2026-02-27,2026,2,27,February,Friday,C016,Hiba Sheikh,Srinagar,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,4,9996,Medium,Credit Card,Delivered
O0049,2026-02-27,2026,2,27,February,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Medium,Cash on Delivery,Delivered
O0035,2026-03-01,2026,3,1,March,Sunday,C003,Rohan Mehta,Mumbai,West,Premium,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Low,Net Banking,Cancelled
O0085,2026-03-01,2026,3,1,March,Sunday,C028,Inaya Khan,Mumbai,West,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Low,Cash on Delivery,Delivered
O0057,2026-03-02,2026,3,2,March,Monday,C027,Harsh Vardhan,Noida,North,Premium,P008,Sneakers,Clothing,StepUp,2999,2,5998,Low,Cash on Delivery,Delivered
O0061,2026-03-02,2026,3,2,March,Monday,C020,Priya Menon,Chennai,South,Premium,P002,Mechanical Keyboard,Electronics,KeyPro,2499,2,4998,Low,Credit Card,Delivered
O0073,2026-03-02,2026,3,2,March,Monday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Medium,Debit Card,Cancelled
O0103,2026-03-03,2026,3,3,March,Tuesday,C022,Alina Shah,Pune,West,New,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Low,Debit Card,Delivered
O0004,2026-03-04,2026,3,4,March,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Medium,Net Banking,Delivered
O0010,2026-03-05,2026,3,5,March,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Low,Debit Card,Shipped
O0019,2026-03-05,2026,3,5,March,Thursday,C019,Yusuf Dar,Srinagar,North,New,P017,Yoga Mat,Sports,FitLife,899,4,3596,Medium,Net Banking,Delivered
O0030,2026-03-05,2026,3,5,March,Thursday,C017,Dev Patel,Ahmedabad,West,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,3,4497,Medium,Net Banking,Shipped
O0059,2026-03-09,2026,3,9,March,Monday,C017,Dev Patel,Ahmedabad,West,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Low,Net Banking,Delivered
O0118,2026-03-09,2026,3,9,March,Monday,C025,Reyansh Jain,Kolkata,East,New,P016,Atomic Habits,Books,MindReads,599,4,2396,Medium,Credit Card,Delivered
O0052,2026-03-10,2026,3,10,March,Tuesday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,5,14995,High,Debit Card,Delivered
O0009,2026-03-13,2026,3,13,March,Friday,C024,Maryam Khan,Hyderabad,South,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,2,6998,Low,UPI,Cancelled
O0036,2026-03-14,2026,3,14,March,Saturday,C026,Fatima Noor,Srinagar,North,Regular,P016,Atomic Habits,Books,MindReads,599,5,2995,High,Debit Card,Shipped
O0065,2026-03-14,2026,3,14,March,Saturday,C024,Maryam Khan,Hyderabad,South,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Low,Cash on Delivery,Delivered
O0089,2026-03-14,2026,3,14,March,Saturday,C015,Karan Joshi,Chandigarh,North,Regular,P008,Sneakers,Clothing,StepUp,2999,4,11996,Medium,Credit Card,Shipped
O0111,2026-03-14,2026,3,14,March,Saturday,C001,Aarav Sharma,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Medium,Debit Card,Delivered
O0060,2026-03-15,2026,3,15,March,Sunday,C007,Aditya Verma,Pune,West,Regular,P006,Hoodie,Clothing,UrbanWear,1599,1,1599,Low,Debit Card,Cancelled
O0109,2026-03-17,2026,3,17,March,Tuesday,C023,Nikhil Sood,Chandigarh,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,5,12495,High,Debit Card,Cancelled
O0070,2026-03-18,2026,3,18,March,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P004,Smart Watch,Electronics,FitTech,3299,2,6598,Low,Net Banking,Delivered
O0053,2026-03-19,2026,3,19,March,Thursday,C021,Aman Kumar,Delhi,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,3,9897,Medium,Credit Card,Cancelled
O0074,2026-03-19,2026,3,19,March,Thursday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,749,4,2996,Medium,Credit Card,Delivered
O0100,2026-03-19,2026,3,19,March,Thursday,C003,Rohan Mehta,Mumbai,West,Premium,P008,Sneakers,Clothing,StepUp,2999,4,11996,Medium,Credit Card,Delivered
O0072,2026-03-21,2026,3,21,March,Saturday,C029,Sameer Qureshi,Jammu,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,4,13996,Medium,Net Banking,Cancelled
O0013,2026-03-22,2026,3,22,March,Sunday,C005,Kabir Ali,Lucknow,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,3,10497,Medium,Cash on Delivery,Delivered
O0113,2026-03-22,2026,3,22,March,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P014,Data Science Handbook,Books,DataPress,899,1,899,Low,UPI,Delivered
O0031,2026-03-24,2026,3,24,March,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,Low,Debit Card,Delivered
O0062,2026-03-25,2026,3,25,March,Wednesday,C009,Arjun Nair,Kochi,South,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,Low,UPI,Delivered
O0008,2026-03-27,2026,3,27,March,Friday,C020,Priya Menon,Chennai,South,Premium,P005,Power Bank,Electronics,VoltPlus,1199,4,4796,Medium,Debit Card,Delivered
O0077,2026-03-27,2026,3,27,March,Friday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,3,5997,Medium,Net Banking,Delivered
O0087,2026-03-28,2026,3,28,March,Saturday,C006,Ishita Gupta,Bengaluru,South,Premium,P004,Smart Watch,Electronics,FitTech,3299,5,16495,High,Cash on Delivery,Cancelled
O0005,2026-03-29,2026,3,29,March,Sunday,C025,Reyansh Jain,Kolkata,East,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,5,17495,High,Credit Card,Delivered
O0080,2026-03-29,2026,3,29,March,Sunday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,5,12495,High,Debit Card,Delivered
O0037,2026-03-30,2026,3,30,March,Monday,C028,Inaya Khan,Mumbai,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,Low,Credit Card,Delivered
